T_K,M_abs
0.0,1.0
5.0,1.0
10.0,1.0
15.0,1.0
20.0,1.0
25.0,1.0
30.0,1.0
35.0,1.0
40.0,1.0
45.0,1.0
50.0,1.0
55.0,1.0
60.0,1.0
65.0,1.0
70.0,1.0
75.0,1.0
80.0,1.0
85.0,1.0
90.0,1.0
95.0,1.0
100.0,1.0
105.0,1.0
110.0,1.0
115.0,1.0
120.0,1.0
125.0,1.0
130.0,1.0
135.0,1.0
140.0,1.0
145.0,1.0
150.0,1.0
155.0,1.0
160.0,1.0
165.0,0.99999755859375
170.0,1.0
175.0,0.999990234375
180.0,0.99999755859375
185.0,0.9999951171875
190.0,0.99998046875
195.0,0.9999560546875
200.0,0.9999609375
205.0,0.9999462890625
210.0,0.99997314453125
215.0,0.999912109375
220.0,0.9998974609375
225.0,0.99989990234375
230.0,0.9999169921875
235.0,0.99982177734375
240.0,0.999765625
245.0,0.9997314453125
250.0,0.99969970703125
255.0,0.999677734375
260.0,0.99956298828125
265.0,0.99956787109375
270.0,0.999404296875
275.0,0.9992333984375
280.0,0.99927001953125
285.0,0.9991796875
290.0,0.99890625
295.0,0.9987890625
300.0,0.99876220703125
305.0,0.99841552734375
310.0,0.99810302734375
315.0,0.99814208984375
320.0,0.9974462890625
325.0,0.99706298828125
330.0,0.99707275390625
335.0,0.9967236328125
340.0,0.996220703125
345.0,0.996123046875
350.0,0.995556640625
355.0,0.99521484375
360.0,0.99458740234375
365.0,0.9942578125
370.0,0.99358154296875
375.0,0.99326171875
380.0,0.9922119140625
385.0,0.99186767578125
390.0,0.99110595703125
395.0,0.98943359375
400.0,0.98933349609375
405.0,0.98808837890625
410.0,0.9868017578125
415.0,0.98625732421875
420.0,0.984814453125
425.0,0.98329833984375
430.0,0.98376220703125
435.0,0.98194091796875
440.0,0.97996337890625
445.0,0.9793310546875
450.0,0.97716796875
455.0,0.9749853515625
460.0,0.974189453125
465.0,0.97332275390625
470.0,0.97021484375
475.0,0.96809814453125
480.0,0.9671435546875
485.0,0.96370361328125
490.0,0.9595849609375
495.0,0.9587060546875
500.0,0.956533203125
505.0,0.955458984375
510.0,0.95021240234375
515.0,0.94701416015625
520.0,0.9419287109375
525.0,0.941240234375
530.0,0.93700439453125
535.0,0.9253271484375
540.0,0.92655517578125
545.0,0.9231005859375
550.0,0.912548828125
555.0,0.906015625
560.0,0.898134765625
565.0,0.8939306640625
570.0,0.89128662109375
575.0,0.88197021484375
580.0,0.87362548828125
585.0,0.86385498046875
590.0,0.8414111328125
595.0,0.83419189453125
600.0,0.8400341796875
605.0,0.8021923828125
610.0,0.7799169921875
615.0,0.77536865234375
620.0,0.72827392578125
625.0,0.73494384765625
630.0,0.67279296875
635.0,0.59508056640625
640.0,0.442568359375
645.0,0.32698486328125
650.0,0.05985107421875
655.0,0.30218017578125
660.0,0.346328125
665.0,0.05373046875
670.0,0.15068359375
675.0,0.0655029296875
680.0,0.1105029296875
685.0,0.12135009765625
690.0,0.03482421875
695.0,0.07831787109375
700.0,0.079833984375
705.0,0.10758056640625
710.0,0.05744140625
715.0,0.12182861328125
720.0,0.092998046875
725.0,0.06201904296875
730.0,0.04267333984375
735.0,0.07023681640625
740.0,0.0823388671875
745.0,0.0758056640625
750.0,0.0351220703125
755.0,0.0464111328125
760.0,0.0826708984375
765.0,0.053134765625
770.0,0.04956787109375
775.0,0.09796875
780.0,0.041005859375
785.0,0.04372314453125
790.0,0.0535693359375
795.0,0.03863525390625
800.0,0.057919921875
805.0,0.0463720703125
810.0,0.04726318359375
815.0,0.05677001953125
820.0,0.03558837890625
825.0,0.04333984375
830.0,0.04225341796875
835.0,0.0457275390625
840.0,0.0469921875
845.0,0.04424072265625
850.0,0.03817138671875
855.0,0.0381201171875
860.0,0.0324853515625
865.0,0.0414990234375
870.0,0.04047607421875
875.0,0.03890869140625
880.0,0.03226806640625
885.0,0.0393798828125
890.0,0.04055419921875
895.0,0.032548828125
900.0,0.030078125
905.0,0.03750732421875
910.0,0.0308935546875
915.0,0.03588623046875
920.0,0.03453857421875
925.0,0.03838623046875
930.0,0.03054443359375
935.0,0.03707763671875
940.0,0.0295703125
945.0,0.02560791015625
950.0,0.031484375
955.0,0.03371337890625
960.0,0.03873046875
965.0,0.0300146484375
970.0,0.03443359375
975.0,0.03014892578125
980.0,0.034345703125
985.0,0.02837158203125
990.0,0.034765625
995.0,0.02724853515625
1000.0,0.03149658203125
1005.0,0.0319677734375
1010.0,0.02934814453125
1015.0,0.02871826171875
1020.0,0.02808349609375
1025.0,0.032294921875
1030.0,0.027607421875
1035.0,0.02765869140625
1040.0,0.0244970703125
1045.0,0.02728759765625
1050.0,0.0248486328125
1055.0,0.02636474609375
1060.0,0.02784912109375
1065.0,0.025107421875
1070.0,0.02583740234375
1075.0,0.030068359375
1080.0,0.0308056640625
1085.0,0.02076416015625
1090.0,0.024345703125
1095.0,0.02624755859375
1100.0,0.0249365234375
1105.0,0.02476318359375
1110.0,0.0254052734375
1115.0,0.02221435546875
1120.0,0.0223681640625
1125.0,0.02275390625
1130.0,0.025791015625
1135.0,0.0226025390625
1140.0,0.0246923828125
1145.0,0.021376953125
1150.0,0.02180419921875
1155.0,0.0206787109375
1160.0,0.0208251953125
1165.0,0.02335205078125
1170.0,0.025380859375
1175.0,0.02366455078125
1180.0,0.02733642578125
1185.0,0.024775390625
1190.0,0.02235595703125
1195.0,0.02511962890625
1200.0,0.0214453125
